Id,Label,debug,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Eigenvector Centrality,Component ID,Strongly-Connected ID,Clustering Coefficient
97.0,LTD,1162.0,1,1,2,2.0,1.0,1.0,9.0,4.201982651796778,0.0,4.944376E-5,4.9486578E-5,6,6.82145079448367E-5,0.0015675766890511768,0,22,0.0
98.0,KGL,1165.0,17,16,33,33.0,17.0,16.0,8.0,3.353469640644362,8434.614251751991,4.449938E-4,4.4537918E-4,7,4.8010658255404466E-4,0.06130427914234845,0,22,0.4227941
99.0,KME,1166.0,1,1,2,2.0,1.0,1.0,9.0,4.353159851301116,0.0,4.944376E-5,4.9486578E-5,7,7.164992261200007E-5,0.0010228272177348879,0,22,0.0
100.0,ELF,1169.0,1,1,2,2.0,1.0,1.0,9.0,4.36276332094176,0.0,4.944376E-5,4.9486578E-5,6,7.029693019137525E-5,0.001160489022369003,0,22,0.0
101.0,YQM,117.0,7,7,14,14.0,7.0,7.0,8.0,3.4609665427509295,263.82972021644895,1.9777504E-4,1.9794631E-4,3,1.9522498791994791E-4,0.031856768726858394,0,22,0.71428573
102.0,JUB,1173.0,8,7,15,15.0,8.0,7.0,8.0,3.4708798017348204,64.13580694524066,2.224969E-4,2.2268959E-4,7,2.276921795820105E-4,0.024118602074463757,0,22,0.76785713
103.0,KRT,1175.0,22,22,44,44.0,22.0,22.0,8.0,3.363073110285006,20060.233226091626,5.686032E-4,5.6909566E-4,6,6.251280001400247E-4,0.0691926197287223,0,22,0.38932806
104.0,ARK,1176.0,1,1,2,2.0,1.0,1.0,9.0,4.3686493184634445,0.0,4.944376E-5,4.9486578E-5,7,6.944812068529081E-5,8.618228568332676E-4,0,22,1.0
105.0,DAR,1177.0,18,21,39,39.0,18.0,21.0,8.0,3.268277571251549,17813.82863466256,4.697157E-4,4.7012247E-4,7,5.757422372457654E-4,0.047775799822666755,0,22,0.32380953
106.0,JRO,1180.0,11,9,20,20.0,11.0,9.0,9.0,3.9814126394052045,45110.37597228917,2.9666253E-4,2.9691946E-4,7,3.796108914830952E-4,0.0350827369691045,0,22,0.4909091
107.0,MYW,1182.0,1,1,2,2.0,1.0,1.0,9.0,4.267967781908302,0.0,4.944376E-5,4.9486578E-5,7,6.944812068529081E-5,8.618228568332676E-4,0,22,0.0
108.0,MWZ,1183.0,4,4,8,8.0,4.0,4.0,9.0,4.039653035935564,6456.000000000001,1.236094E-4,1.2371644E-4,7,2.0454981675847424E-4,0.004374732153995884,0,22,0.5
109.0,ZNZ,1186.0,7,7,14,14.0,7.0,7.0,8.0,3.369268897149938,4238.041741316982,1.9777504E-4,1.9794631E-4,7,2.5607276995702157E-4,0.011340755587886237,0,22,0.5138889
110.0,EBB,1187.0,15,19,34,34.0,15.0,19.0,8.0,3.230173482032218,18566.93986426457,3.9555007E-4,3.9589262E-4,7,4.904132176738734E-4,0.047229793133542114,0,22,0.41812867
111.0,YQQ,119.0,4,4,8,8.0,4.0,4.0,8.0,3.7884138785625776,55.84415642504441,1.236094E-4,1.2371644E-4,3,1.6655949442523398E-4,0.009405218793328408,0,22,0.6666667
